"filename", "language", "CSS", "JSON with Comments", "JSON", "Markdown", "Prisma", "TypeScript React", "JavaScript", "XML", "SQL", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\AssetExpenseGlPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\AssetMappingPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 2, 29, 272
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\BillOfMaterialPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 13, 60
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\CurrentMonthAssetsPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 3, 32, 173
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\CurrentMonthExpensePage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ExpenseGlPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ExpenseMappingPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 3, 24, 229
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ExpenseMappingPageDNU.tsx", "TypeScript React", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 35, 108
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\FillsPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 2, 22, 281
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\FillsPageDNU.tsx", "TypeScript React", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 15, 70
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ImsActivityPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ReceiptsPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 2, 20, 257
